Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,Manchester,2020-05-15,4,1543,2020-06-01,GIA31292/003
Gravel,Manchester,2020-06-16,2,2076,2020-06-24,GIA21312/001
Road,Birmingham,2020-05-04,1,2616,2020-05-13,GIA94221/129
Gravel,York,2020-09-05,2,1359,2020-09-19,GIA12442/120
Gravel,Birmingham,2020-03-28,4,1599,2020-04-04,GIA12492/123
Mountain,Birmingham,2020-09-08,3,1263,2020-09-28,GIA14293/003
Gravel,Birmingham,2020-01-01,4,3140,2020-01-10,GIA31292/004
Gravel,Leeds,2020-06-08,5,1411,2020-06-13,GIA21312/002
Road,York,2020-06-30,4,1343,2020-07-17,GIA94221/130
Road,London,2020-09-12,2,3138,2020-09-24,GIA12442/121
Gravel,Leeds,2020-03-30,4,3738,2020-04-18,GIA12492/124
Mountain,Birmingham,2020-10-13,3,2401,2020-10-26,GIA14293/004
Mountain,Manchester,2020-06-11,5,3547,2020-06-28,GIA31292/005
Mountain,London,2020-07-17,4,2661,2020-08-04,GIA31292/004
Mountain,London,2020-02-25,2,1188,2020-03-10,GIA21312/002
Gravel,London,2020-01-01,5,780,2020-01-09,GIA94221/130
Gravel,London,2020-12-18,4,2324,2020-12-23,GIA12442/121
Mountain,Birmingham,2020-10-21,5,1867,2020-11-08,GIA12492/124
Mountain,Leeds,2020-02-06,2,773,2020-02-26,GIA14293/004
Mountain,London,2020-10-11,5,2979,2020-10-14,GIA31292/005
Gravel,Leeds,2020-01-05,1,2389,2020-01-22,GIA21312/003
Mountain,York,2020-06-16,3,1041,2020-06-22,GIA94221/131
Mountain,York,2020-05-27,4,1317,2020-06-12,GIA12442/122
Gravel,Birmingham,2020-06-04,5,3880,2020-06-18,GIA12492/125
Road,Birmingham,2020-09-11,5,820,2020-09-15,GIA14293/005
Gravel,Birmingham,2020-04-25,5,1344,2020-05-01,GIA31292/006
Road,York,2020-04-17,5,3292,2020-04-23,GIA31292/005
Mountain,York,2020-05-28,5,1413,2020-05-30,GIA21312/003
Road,Birmingham,2020-07-02,5,1016,2020-07-04,GIA94221/131
Road,Birmingham,2020-06-26,5,2524,2020-06-27,GIA12442/122
Gravel,Birmingham,2020-01-28,3,2496,2020-02-05,GIA12492/125
Road,Manchester,2020-11-08,5,3701,2020-11-13,GIA14293/005
Road,York,2020-05-09,4,1090,2020-05-11,GIA31292/006
